ema_fast,ema_slow,breakout_len,atr_len,atr_sl_mult,rr,vol_len,vol_factor,is_monthly,is_mdd,is_pf,is_trades,oos_monthly,oos_mdd,oos_pf,oos_trades,oos_win
48,160,22,18,2.13,2.63,26,0.9,-0.007113876408061159,-0.026429418354657508,0.6260894573346157,24,-0.0016170242963903236,-0.011944163022127086,0.9151835295713004,11,0.2727272727272727
20,127,43,15,2.0,1.25,9,1.52,-0.009167530454833317,-0.02458665184627562,0.6368994880098324,40,0.006728399761266157,-0.008108803819596222,1.4184325726814915,16,0.5625
39,96,9,28,1.85,2.67,32,1.09,-0.0014036269571660043,-0.023895056038491846,0.9430993633550381,32,-0.0036934321088669675,-0.020895044828581177,0.8235199926672897,12,0.25
37,71,10,12,1.83,1.61,25,1.75,0.0019120436938544483,-0.018847134719768843,1.0764721981285457,46,-0.001754598438613808,-0.015692761530552768,0.9067691678879948,13,0.38461538461538464
23,51,33,28,1.19,1.78,14,1.41,-0.0067850055443069435,-0.025946705055974184,0.8033069026859414,51,-0.005007537610424606,-0.013004547581471737,0.8374323873316507,20,0.35
17,74,21,24,1.24,2.79,9,1.23,-0.011600460890603403,-0.04416339534054592,0.7354409315337971,55,-0.011984249074346698,-0.023934816397347625,0.6610863243286378,19,0.21052631578947367
13,93,36,25,2.12,3.45,21,1.53,-0.007008772500885829,-0.026943637817926636,0.6922019090502426,28,-0.012981874607144173,-0.018134154647420186,0.36004208146212385,10,0.1
24,83,28,23,2.07,2.5,31,1.16,-0.0008132377008577274,-0.022808481733423758,0.9651213765873679,30,0.002133397439641138,-0.013042956729557686,1.1613565952962028,9,0.3333333333333333
50,84,8,14,1.52,2.15,15,0.81,-0.006757992837686078,-0.03269074975347441,0.8498586615817068,63,0.0029814254434366028,-0.021813422963996354,1.11060112138009,19,0.3684210526315789
20,120,15,10,2.14,2.65,35,1.66,-0.003930369875976392,-0.02226464830334207,0.8126976504034736,28,0.003086664476165346,-0.013079392762014419,1.2316064304436127,9,0.3333333333333333
17,51,41,8,0.91,1.95,31,1.47,-0.00621051205742329,-0.03398823051805655,0.8120913445782736,47,-0.00782355593662254,-0.022484250063163458,0.7812697716688418,22,0.3181818181818182
49,103,8,10,1.0,2.91,8,1.52,-0.00704192947023452,-0.054168473572158926,0.8692696021838667,66,-0.014179605782138727,-0.027632326561086495,0.6783508082196825,23,0.21739130434782608
23,145,34,16,2.01,1.47,20,1.0,0.001259300088050308,-0.020715234627491252,1.0730453781799827,33,0.006716465691773532,-0.006975484668029441,1.5919249267756845,11,0.5454545454545454
41,112,39,11,2.34,1.8,22,1.56,-0.0032496285297390903,-0.017426256514450178,0.8185611340736035,27,0.002258689015386839,-0.007805425046974679,1.253986475246739,7,0.42857142857142855
45,77,39,14,1.29,1.59,9,1.42,-0.008044201623814362,-0.034250521850415105,0.7362532720102674,46,-0.004057738380718767,-0.009822734513220799,0.8481113964574617,18,0.3888888888888889
15,67,35,19,1.12,3.34,18,1.12,-0.015015053321841942,-0.05302497284435226,0.6385932989621828,48,-0.012392909596586565,-0.029808208726934016,0.6287585805966315,17,0.17647058823529413
37,185,34,27,1.4,1.93,13,1.31,-0.0025775606873401635,-0.01659546679984092,0.8699984032457907,29,-0.00016348191233084286,-0.0067274422982692705,0.9934433856252105,11,0.36363636363636365
18,101,44,8,1.0,2.01,22,0.97,0.002570471019618825,-0.020424292277065437,1.1062844932925917,40,0.001690944507423131,-0.01405091978473294,1.0942021971272426,13,0.38461538461538464
41,156,31,16,1.49,1.36,19,1.05,4.478725449708065e-05,-0.018595788018521686,1.0052542752776217,36,0.007573925913964663,-0.007822811995251477,1.5334243449598677,14,0.5714285714285714
11,170,44,24,2.5,1.84,9,1.3,-0.01084413953439678,-0.029039386876974715,0.5147676883763379,30,0.010278146831736557,-0.002711761568178539,2.133596337447676,9,0.5555555555555556
32,180,26,9,1.7,2.27,13,1.04,-0.006920927433099577,-0.028954065362935322,0.7007132417657176,31,0.0029281378689631765,-0.007805202829367697,1.1881312305491432,11,0.36363636363636365
13,162,24,13,1.43,2.72,13,1.2,-0.01689098244446119,-0.04499865276641679,0.49968157317829626,40,0.00270810033311486,-0.00964950760791461,1.1113320302757894,16,0.3125
25,141,16,13,1.98,3.26,26,1.51,0.0026458972378089474,-0.018579900234417357,1.1540794578204068,25,0.011450192461240016,-0.007968918565698035,2.2472227861875402,7,0.42857142857142855
28,195,39,14,1.1,2.86,25,1.64,-0.013956419723919478,-0.039196322080186974,0.4730608394401738,30,0.004461229061228922,-0.011071315629681,1.2406338570162447,12,0.3333333333333333
20,190,38,17,1.24,2.78,33,1.78,-0.01603774336465269,-0.04275681470618509,0.4315481295973638,32,-0.0015977360640583305,-0.011022801249341296,0.9195954475896623,11,0.2727272727272727
11,168,19,12,2.33,2.72,16,1.08,-0.0064361548711389105,-0.023676116800260605,0.657770481916682,24,0.008045559880492492,-0.013161379977340792,1.3960310402583826,14,0.35714285714285715
28,95,23,10,2.26,2.17,40,1.44,-0.0011153438448963104,-0.01598442273206324,0.9437271235373124,28,0.002354871531839109,-0.010398129258293864,1.2131163034974635,8,0.375
20,152,15,11,2.33,2.66,32,1.46,-0.004239153724223121,-0.020997477674257414,0.7756053980932425,25,0.01343670568562949,-0.00786010274200577,2.480198057310919,8,0.5
38,185,25,9,1.98,2.76,40,0.82,-0.0037855159990385356,-0.02864721969863593,0.8005828601565114,25,0.006150287361531115,-0.007889683804185865,1.5489864561194475,8,0.375
23,63,27,15,2.24,2.78,40,1.34,0.003587085402765533,-0.019419016322529514,1.1964079771180642,28,0.003891370988843512,-0.013056794784884196,1.2907484775060267,9,0.3333333333333333
31,169,29,21,1.8,3.55,15,1.43,-0.0019644810412460245,-0.027128985661062366,0.9121036631830629,27,0.0011810982587909802,-0.005385684851132444,1.0918976548830799,8,0.25
43,83,37,8,1.78,2.38,12,1.03,-0.0038085712974119668,-0.021396959716669328,0.8362933876989276,32,0.0016114430535538737,-0.007721496562483554,1.0931717471848756,12,0.3333333333333333
28,51,42,24,0.87,3.59,37,1.75,-0.018439749597136235,-0.0490594948067391,0.5450537658934076,44,0.0007259943768735955,-0.01407472331739068,1.030874977694056,16,0.25
15,138,48,12,2.38,2.23,38,1.76,-0.004719483598085383,-0.01850955909262786,0.71910068209755,23,-0.0019067350901252889,-0.01037670870960361,0.83417301508715,7,0.2857142857142857
42,177,28,30,1.26,2.36,25,1.36,-0.011268094572180587,-0.03503673738497448,0.4777454822373331,26,-0.0016212560490360683,-0.008077690958221084,0.9041904141061312,10,0.3
40,113,10,15,0.92,1.7,29,1.16,-0.011400392057702602,-0.04302833085883673,0.7646278367347482,70,0.0023746535939070945,-0.01944175020121952,1.1013184062169121,18,0.4444444444444444
36,185,33,24,2.24,1.53,36,1.1,-0.006999488215346794,-0.03139677942514929,0.6073775421122402,26,0.006043322040840238,-0.0052228741122796185,1.9008408160382748,7,0.5714285714285714
35,153,32,20,0.94,1.21,27,1.45,0.0011799259911646764,-0.014751630831514762,1.0568141319103053,44,-0.0008945675522766816,-0.008523206148998264,0.956153551433781,16,0.5
25,186,19,26,1.37,2.1,9,1.24,-0.00696008922802005,-0.030696334141967152,0.7903375889745103,46,0.0006976060570844655,-0.009077461260206698,1.0373512302440193,14,0.35714285714285715
31,101,32,29,1.8,1.27,13,1.1,5.693135015394368e-05,-0.017127215459878387,1.0052140963404768,46,0.00219105181965773,-0.0075461456904099,1.1402270917770605,14,0.5
46,73,12,14,0.95,1.32,37,1.34,-0.009968770934141391,-0.03574555313512273,0.7849386261801352,76,-0.0038817014429987085,-0.016508253860434197,0.8573112179818562,20,0.45
49,120,23,20,2.45,2.92,26,1.6,-0.004623114295752795,-0.021240793146210413,0.7437924214552926,23,-0.011872548874689692,-0.015592159121183169,0.34243508641883263,9,0.1111111111111111
28,139,33,12,1.11,1.39,16,1.49,-0.007955113790798607,-0.0307372322162619,0.7136102086070215,43,0.008084078147099216,-0.007402035246607319,1.4925848937116044,16,0.5625
10,97,8,22,1.23,2.52,32,1.46,-0.0021724022622124917,-0.02743610360252635,0.949141221088218,55,-0.009308479888593957,-0.026272825067085837,0.7379979504922727,20,0.25
10,55,46,12,1.84,2.21,19,1.37,-0.010562666026863066,-0.038243677791782504,0.6499233556877247,40,-0.002031352263747843,-0.013146988584027186,0.9044752418441296,13,0.3076923076923077
46,151,36,21,0.96,1.43,37,1.66,-0.01099176426368087,-0.03849859486501672,0.5789550755459868,37,0.0030270378628447503,-0.008398410928410316,1.1607997388322202,16,0.5
14,183,33,23,2.17,2.03,37,1.45,0.0032903079612940367,-0.011222165545185958,1.2265383840812074,25,0.0034429712048682504,-0.00782948994466659,1.2580157593336168,10,0.4
19,108,43,9,1.24,1.24,26,1.3,-0.004889106122661024,-0.024563061160195798,0.8041150421403103,43,0.00023921422547101834,-0.00855826580424357,1.0169301185365343,14,0.5
10,108,11,23,0.92,2.74,35,1.39,-0.008066076347233775,-0.05138559207559712,0.8365702227936381,62,-0.005709483882412658,-0.02376400401616452,0.8337935140422517,19,0.2631578947368421
36,139,31,19,1.46,2.74,40,1.61,-0.0070827620298496985,-0.027658909868353954,0.6741016979804303,27,0.0008502720578096312,-0.013336901928232558,1.0571263706180563,10,0.3
46,77,10,8,2.43,3.37,36,0.87,0.0025638063342892092,-0.02602681630003978,1.2083899173394126,18,-0.008628584605116396,-0.012934080301784334,0.4541113011378651,8,0.125
40,105,9,26,1.85,2.01,33,1.12,-5.1938771524207006e-05,-0.024719758482424137,1.0016920025063958,39,-0.005971329037615436,-0.018354304777430164,0.7403464968738687,14,0.2857142857142857
35,144,41,26,1.28,1.48,18,1.68,0.0025924126239100787,-0.01102632578565399,1.1512090653382556,33,0.006403123940149413,-0.005266992170527174,1.5568870830739219,11,0.5454545454545454
45,85,43,17,1.52,2.56,25,1.05,-0.007733232164971904,-0.0335378038071541,0.7000351294714415,33,-0.005471677434099154,-0.015846353619592746,0.6633253554215446,9,0.2222222222222222
