ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_trades,is_monthly,is_mdd,is_pf,oos_trades,oos_monthly,oos_mdd,oos_pf,oos_win_rate,score
71,212,24,2.66,1.44,26,0.94,0.188,4,-0.010666395483389435,-0.011023658286481774,0.0,7,-0.001319620788251763,-0.00803737911889546,0.9561008915830995,0.2857142857142857,1.1872079590670708
43,250,30,3.14,1.77,9,1.05,0.105,20,-0.023945655798400467,-0.03686725259197021,0.48154833011375847,19,0.043365527410164306,-0.01106464713757449,1.6547771723474298,0.3684210526315789,2.0068368458566015
95,182,21,1.25,1.33,35,2.16,0.12,16,-0.016092038771194583,-0.022561356887639827,0.4652475866414046,11,-0.014597400351861411,-0.010731962523859107,0.6150800142547043,0.36363636363636365,0.9153944673812024
81,294,28,1.96,1.98,10,2.0,0.254,0,0.0,0.0,,3,-0.0010700242869390308,-0.0053128029228601825,0.9028713966456676,0.3333333333333333,1.1921812634525633
92,288,27,3.1,1.95,16,0.82,0.119,18,-0.027925880149070714,-0.030883322908113353,0.3434126691189479,11,0.02367226183035953,-0.007915245310005314,1.6295579416094559,0.36363636363636365,1.902589195704718
79,291,17,1.27,1.87,11,1.24,0.206,3,-0.007742131600103064,-0.008001844867485897,0.0,9,-0.002534304728014969,-0.01036352469383739,0.9083788888313689,0.4444444444444444,1.2592132501578917
23,173,27,2.75,1.92,21,1.82,0.148,5,-0.013034029070153719,-0.013470052630939922,0.0,6,-0.03221070083331656,-0.01623717331529373,0.0,0.0,0.0012598101443839077
97,166,30,1.98,0.98,31,1.3,0.134,10,0.0011362351607833165,-0.011664764448726661,1.07131744400883,16,-0.015589442693569322,-0.013362689041020448,0.7516197930428721,0.3125,0.9753698846651901
60,276,24,1.53,0.62,16,1.88,0.11,23,-0.030614927050886198,-0.041935785550840765,0.3828816883905211,23,-0.04439396137372609,-0.023048864943207903,0.5115649226204988,0.30434782608695654,0.6074301005920634
82,258,28,2.61,1.62,40,1.65,0.328,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
60,147,16,2.9,1.23,40,0.89,0.143,9,-0.01464596401941165,-0.02206439984656372,0.3180039525280311,9,-0.009509382119392673,-0.01181284818964734,0.7515449801398008,0.2222222222222222,0.9164734478948691
56,218,21,2.48,1.84,8,1.34,0.342,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
22,120,14,2.32,1.68,34,1.53,0.178,6,-0.015423554190605149,-0.01593886634112507,0.0,5,-0.01009453185693221,-0.010652507425704116,0.5285164901863474,0.2,0.713881671982383
61,243,22,1.6,1.85,39,1.77,0.092,14,-0.024558630894068068,-0.032783289157754636,0.22966087439125643,6,-0.005768120659561005,-0.007928333684224298,0.7300676287030676,0.3333333333333333,1.0242216175170824
34,290,13,3.09,1.44,29,2.03,0.237,2,-0.005264691884278361,-0.0054415263290110705,0.0,3,0.004410757781955654,-0.005394912668871932,1.4140656741280127,0.3333333333333333,1.622402935745924
81,253,21,1.57,1.85,18,1.25,0.087,23,-0.03033803434505733,-0.041205120806379725,0.3675643803410228,10,-0.02820375987407797,-0.017931938008642456,0.3475557386145792,0.2,0.4551073806595452
81,248,29,1.91,1.03,13,1.52,0.175,3,0.005976308902265082,-0.002911486997858481,3.124026296355841,18,-0.013743977149894171,-0.011624385693709827,0.8002492973630234,0.3333333333333333,1.0588951104078301
56,170,19,1.88,1.92,39,1.53,0.261,1,-0.0025556574907084073,-0.002641619666217454,0.0,2,0.0038973620116102836,-0.002645049270789457,1.740615262298595,0.5,2.0335879303856683
81,171,21,1.7,1.3,24,1.17,0.343,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
73,206,14,1.89,1.49,9,1.54,0.184,9,-0.009483670525213594,-0.011605588990025284,0.48287283013182225,11,0.013410329394748288,-0.008000964675893507,1.416345140145081,0.45454545454545453,1.7630127425909403
89,279,13,1.36,1.12,24,1.82,0.16,10,0.0021476925820680393,-0.008275340033183198,1.1649426399868286,11,-0.024463745397776404,-0.016174125043293075,0.4349660982580624,0.2727272727272727,0.6155733815174845
89,258,25,2.8,0.81,13,1.77,0.308,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
78,283,28,2.62,1.73,27,1.7,0.102,17,-0.036496056700323076,-0.038455182196501014,0.14256781514248296,12,-0.010545826545706016,-0.01795009096981104,0.7874910103826023,0.25,0.9242087743647696
52,287,16,3.07,0.79,35,1.83,0.113,12,-0.013914194600991525,-0.025631142041212973,0.5049775118456222,13,0.009093750264801859,-0.010868519141895905,1.1855298536949954,0.3076923076923077,1.4273379103672161
50,161,12,1.66,0.84,9,2.19,0.34,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
88,156,18,1.76,1.58,23,2.06,0.316,1,-0.00257992940321361,-0.0026667068976738983,0.0,1,-0.0053443073976993105,-0.0026757334736606797,0.0,0.0,0.20055023595325064
52,271,29,1.37,0.83,27,1.61,0.162,3,-0.002887445444691883,-0.006132527889904149,0.5156991862382312,15,-0.026875887278719257,-0.01959059712420308,0.5333515720447501,0.3333333333333333,0.7191195981939651
44,212,27,1.52,1.37,23,2.19,0.103,16,-0.03164073431762238,-0.03669044231995444,0.17746746511891,15,-0.031825875830328476,-0.019599716538813983,0.47261621652174646,0.26666666666666666,0.5973250709189049
87,152,23,1.85,1.65,15,1.99,0.247,1,-0.0025999625820937178,-0.002687412996516203,0.0,3,-0.0017676918826026178,-0.005361321356684878,0.8384454993914312,0.3333333333333333,1.1374617277959223
52,295,21,2.22,1.49,29,1.14,0.342,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
70,127,11,1.9,1.5,40,1.07,0.267,3,-0.007818316914520507,-0.008080575431482329,0.0,2,0.018700118477176897,0.0,,1.0,1.1214671405753744
38,123,12,2.74,0.66,35,1.46,0.134,12,-0.006032659958683295,-0.02232626002557181,0.7614330893097673,9,0.005443673851396991,-0.010880445953055706,1.1660677302507578,0.3333333333333333,1.4042519786484153
25,218,18,3.11,1.06,38,2.15,0.306,1,-0.0026591117869491088,-0.00274854895761778,0.0,0,0.0,0.0,,0.0,0.24
82,279,10,1.83,0.84,32,1.35,0.303,2,0.0014790980922019248,-0.002832917424633874,1.544083958476421,4,-0.008085488731910617,-0.008411245014210866,0.5213176192082994,0.25,0.7707555136586435
86,223,23,1.39,1.46,29,1.3,0.126,15,-0.017293977271130245,-0.02473527630425776,0.42176625030344084,12,-0.017692365551810307,-0.013788282979732336,0.5976042521499478,0.3333333333333333,0.843674342341525
21,136,17,2.59,1.58,36,1.22,0.176,5,-0.012945022069916656,-0.013378088331869487,0.0,5,-0.02665144858100632,-0.013415714994915562,0.0,0.0,0.04273515238331688
69,272,22,1.36,0.61,27,1.71,0.261,1,0.003039319785559158,0.0,,4,-0.011667920521055808,-0.008979707644454438,0.3505136493720032,0.25,0.6152349095910772
35,261,21,2.97,0.64,9,1.41,0.252,1,0.007018899172935411,0.0,,5,-0.008980482590211336,-0.008863913999875628,0.6192972973032831,0.2,0.8052712621494429
70,272,26,1.27,1.75,40,1.96,0.131,9,-0.00729788645356122,-0.013668183717212234,0.5445595489582398,6,-0.009591590699625896,-0.008139293533516168,0.5574907526620502,0.3333333333333333,0.8691785577296739
24,222,13,2.88,0.87,37,1.56,0.241,1,-0.002733308768491538,-0.002825237960878635,0.0,3,0.002630794306508033,-0.005682321154660497,1.236612614012266,0.3333333333333333,1.4710213658652276
