ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_trades,is_monthly,is_mdd,is_pf,oos_trades,oos_monthly,oos_mdd,oos_pf,oos_win_rate,score
42,164,26,2.68,1.81,13,1.91,0.139,10,-0.017502019463405127,-0.024469797295376017,0.2645015539403683,15,0.04961563346585618,-0.008109742430939093,2.119575765317236,0.4666666666666667,2.4925785400030342
97,287,25,1.44,1.79,10,1.07,0.189,3,-0.0018866285835814622,-0.005387336168055201,0.6406105034977944,12,0.021344372421564062,-0.005494374063221175,1.7811909302590558,0.5833333333333334,2.2130419080543984
98,151,10,3.04,0.73,35,1.66,0.05,32,-0.04275775719612851,-0.05884066214731665,0.4465817837863572,19,0.04933073107561281,-0.00854787174377869,1.7697464923315012,0.42105263157894735,2.184912582813914
54,200,12,1.91,1.37,39,2.12,0.064,20,-0.03374922411053205,-0.04091900283034877,0.28150697445083966,14,0.024713114307086892,-0.005477339736765563,1.644673922099519,0.5,2.057439543680505
87,165,11,1.28,1.95,13,1.82,0.145,14,-0.019767884844703265,-0.023771761768722754,0.308197884813434,12,0.015935731370175565,-0.005340324782471151,1.5957659844536645,0.5833333333333334,2.0442997814505315
64,297,24,1.78,1.89,12,1.2,0.161,7,-0.018265262501658497,-0.01887460473632674,0.0,16,0.025577327651392645,-0.00666358889309715,1.5830568549017512,0.5,2.0087794167155275
43,250,30,3.14,1.77,9,1.05,0.105,20,-0.023945655798400467,-0.03686725259197021,0.48154833011375847,19,0.043365527410164306,-0.01106464713757449,1.6547771723474298,0.3684210526315789,2.0068368458566015
72,281,13,2.67,0.89,33,1.1,0.063,24,-0.04031222591660344,-0.045790957297624835,0.3158945937743821,19,0.03639206862632105,-0.008936789322802063,1.5769265445420337,0.42105263157894735,1.9757906341529858
70,193,20,2.8,1.63,12,1.36,0.123,17,-0.035853775260621834,-0.03833890780635962,0.1539770729146188,18,0.03588223369253285,-0.008439718401282104,1.5876755915818173,0.3888888888888889,1.9572627719364397
53,256,17,2.5,1.63,35,2.16,0.066,17,-0.020284863739137737,-0.032816732252767156,0.4653937639805373,12,0.02191985537660157,-0.007966478612890016,1.5758058671186501,0.4166666666666667,1.89792561963154
65,148,12,2.47,0.66,38,1.13,0.056,26,-0.02230914686665053,-0.039900780522558854,0.6066292751244988,16,0.026523933832334645,-0.008648652874451046,1.5191695827567178,0.4375,1.8955755118724378
51,268,17,2.96,1.51,10,1.07,0.066,30,-0.006767374424004324,-0.03621876717377792,0.895066235669465,22,0.037026222781621376,-0.01472474162563242,1.466023202405675,0.36363636363636365,1.8073679442883903
81,232,15,2.27,1.49,10,1.69,0.147,12,-0.015798683193085306,-0.021741506154341672,0.40149189580872857,17,0.022344002186680312,-0.008000940631733955,1.407326520011494,0.4117647058823529,1.7773081310745937
44,193,23,2.65,1.57,37,0.94,0.055,19,-0.016389106307148182,-0.03548207063189157,0.6018887465240347,13,0.019821891671088165,-0.007994063534006779,1.454746228330466,0.38461538461538464,1.7701576821023124
70,294,24,2.35,1.94,16,0.88,0.051,33,-0.04151382173849549,-0.06186079179185622,0.4385243723868352,17,0.02346101447905302,-0.01159958507887937,1.4204205002072503,0.4117647058823529,1.7634622088235263
39,235,19,2.88,1.65,12,0.85,0.103,18,-0.019920812348609762,-0.03833716566938161,0.5056784644633664,17,0.024315266429287385,-0.008431222052361131,1.4028195679534523,0.35294117647058826,1.7310865515041598
60,297,16,1.7,1.88,14,2.03,0.109,16,-0.02923726907796942,-0.03808784719988956,0.21084526730188474,15,0.014117304167353906,-0.00818874780266765,1.3273255985221801,0.4666666666666667,1.716153046399152
47,192,10,2.13,1.82,14,1.43,0.105,17,-0.02983767612282362,-0.030826976819844587,0.24828755498884222,17,0.017569993967696096,-0.011114755018761802,1.321788614416169,0.4117647058823529,1.6648712586261742
51,151,19,2.68,1.53,9,1.23,0.057,32,-0.00916265879546263,-0.035281186106843165,0.8628570394809328,22,0.02533485713797412,-0.01472663995157597,1.3216993155201746,0.36363636363636365,1.6451281855978528
58,296,27,2.94,1.42,14,1.34,0.089,20,-0.016594115108839458,-0.041994448765181214,0.6252218861622877,21,0.02153446788332669,-0.011416665649140012,1.2756877629818166,0.3333333333333333,1.5920214233923067
