pivot_w,rr,sl_points,max_trades_day,no_new_last_min,wait_open,dt_tol,db_tol,min_bars,max_bars,cooldown,trades,win_rate,profit_factor,total_return,monthly_return,max_dd,score
2,1.8,160.0,3,40,30,0.0015,0.0008,4,30,4,59,0.3559322033898305,0.6519526553208385,-0.025943550520310943,-0.01767279653982945,-0.03283668824061925,0.9670264812189064
3,1.4,150.0,3,30,30,0.0008,0.0012,3,60,2,66,0.3939393939393939,0.7429045768142876,-0.02042451209855123,-0.013900662639342753,-0.03223506415280308,1.1547411791898707
3,1.8,160.0,1,50,15,0.0015,0.0012,2,20,4,44,0.4090909090909091,0.8475130677271371,-0.009273151980119576,-0.006299757831298991,-0.0249743694268183,1.3610253223794038
2,1.6,130.0,3,30,20,0.0012,0.0012,5,20,4,65,0.4307692307692308,0.9506968145283988,-0.003997070977565631,-0.0027131140073104465,-0.022783641838139967,1.6101384587052747
2,1.6,160.0,1,40,15,0.0012,0.0006,5,60,2,37,0.4594594594594595,0.9513421510020684,-0.0021039651528961256,-0.0014276843704760234,-0.01279200105285716,1.6113397452221514
3,1.4,130.0,1,30,25,0.0012,0.0012,4,40,0,44,0.5,1.1993925746121656,0.009728741348742354,0.006589099832022605,-0.014028561528492411,2.0576302914034748
3,1.6,140.0,2,20,25,0.0008,0.0012,3,60,2,63,0.4444444444444444,1.014787226366043,0.0008159947706349868,0.0005534482142215413,-0.016541294060460676,1.7648606609000725
3,1.5,150.0,2,20,15,0.0008,0.0012,3,24,2,62,0.46774193548387094,1.0720409679960283,0.004468137300436714,0.0030287366634820234,-0.015871698717921823,1.8720611529943676
3,1.5,180.0,3,50,10,0.0015,0.0015,3,50,6,73,0.410958904109589,0.8257966954622094,-0.015866670466484933,-0.010790635833012208,-0.03830990263737777,1.2850105407049497
3,1.4,150.0,1,20,30,0.0015,0.0006,2,20,6,45,0.4666666666666667,0.9486456818681624,-0.0028028569934982484,-0.0019021444964533174,-0.017800558773678476,1.5934480141885463
2,1.8,140.0,3,20,20,0.001,0.0006,4,50,2,60,0.4166666666666667,0.8100186676338493,-0.014158123304976566,-0.009626009362424415,-0.02490189470936921,1.3186085582951632
2,1.5,120.0,3,20,25,0.0008,0.0006,5,60,6,47,0.425531914893617,0.8260497178190451,-0.010022547184699415,-0.0068096893011254656,-0.018268809485099458,1.372484205408967
2,1.6,150.0,2,40,20,0.0006,0.001,2,60,4,60,0.4,0.9718267792693328,-0.0020857736980967045,-0.00141533607603328,-0.015846385195410595,1.6813391691232693
2,1.4,130.0,3,40,20,0.0006,0.0008,3,40,0,70,0.4857142857142857,1.178055912089372,0.013132783912376711,0.008889767511495839,-0.017439311917832545,2.0885661367190296
2,1.6,120.0,1,50,25,0.0015,0.0015,4,30,0,45,0.4222222222222222,0.9400533676606609,-0.003986440528869761,-0.0027058936791468646,-0.024637643381240193,1.5331070417703754
3,1.4,140.0,3,30,25,0.0008,0.0008,2,60,0,58,0.46551724137931033,1.0231626911096658,0.0012739675145525542,0.0008640045000234409,-0.01300983081616891,1.788597087767673
2,1.5,150.0,2,30,20,0.0008,0.0012,2,60,0,67,0.47761194029850745,1.09007171500575,0.006272511205350995,0.004250606523053202,-0.018232512214286456,1.9072173514073318
2,1.4,140.0,2,20,25,0.0015,0.0006,4,60,6,64,0.40625,0.828237565710092,-0.014567459123795534,-0.009904972817346258,-0.028067648036249948,1.3347106778088682
2,1.4,180.0,1,20,20,0.0008,0.0012,5,30,2,40,0.4,0.7267308571425437,-0.012179974408293437,-0.008278420281754406,-0.020078088649832182,1.1834003915607874
3,1.8,120.0,1,30,10,0.0008,0.0012,5,60,4,43,0.4418604651162791,1.0809304218113935,0.004147197283619564,0.002811331429630748,-0.019698709802006498,1.8131940253420973
