pivot_w,rr,sl_points,max_trades_day,no_new_last_min,wait_open,dt_tol,db_tol,min_bars,max_bars,cooldown,trades,win_rate,profit_factor,total_return,monthly_return,max_dd,score
3,1.5,120.0,3,30,15,0.001,0.0008,5,24,6,57,0.5263157894736842,1.6655942829425692,0.03579297422651484,0.024142149756801956,-0.008297595306191563,2.96424305063112
3,1.5,120.0,3,40,30,0.0012,0.0008,5,20,6,55,0.5272727272727272,1.6477607494523177,0.03321571794161682,0.0224128693067136,-0.01092034179941448,2.9029220278356984
3,1.4,150.0,2,40,20,0.0015,0.0008,5,24,4,56,0.5714285714285714,1.6415004716549844,0.03130332668519875,0.021128801331803615,-0.011712104388790001,2.881008491804166
3,1.8,130.0,2,30,15,0.001,0.0008,5,30,2,52,0.5192307692307693,1.6065829610412075,0.03183295495428373,0.021484494885600336,-0.0074233224273437814,2.8472104660825512
3,1.4,150.0,3,50,20,0.001,0.001,4,20,4,62,0.532258064516129,1.591845011065012,0.03256742071570873,0.02197765827396303,-0.011603946860980985,2.828965101623336
3,1.5,120.0,3,50,25,0.001,0.0008,4,20,2,59,0.5423728813559322,1.5796986141515525,0.03464016699305117,0.023368813564272672,-0.012447658952765117,2.8093124760249197
3,1.5,120.0,2,50,25,0.0012,0.0006,5,50,2,50,0.56,1.5681742102569585,0.02820098890890943,0.01904411785419291,-0.007367823937542206,2.7654073145937277
3,1.5,120.0,3,20,20,0.001,0.0008,2,24,4,67,0.5223880597014925,1.527258927493722,0.034846735978039556,0.023507406344902337,-0.012972048833253869,2.7486153490002785
3,1.6,120.0,2,20,30,0.0012,0.0008,5,24,0,55,0.5272727272727272,1.543307852338206,0.029303956870142756,0.019785512699601604,-0.011499107611549486,2.721751234434825
3,1.4,150.0,2,50,15,0.0012,0.001,5,24,2,55,0.5636363636363636,1.5339088320177063,0.026723189272949588,0.018050366896464,-0.012109340569319005,2.6901101397823575
3,1.8,180.0,1,50,20,0.001,0.0008,5,50,6,37,0.5675675675675675,1.5743922876030387,0.019558862708555447,0.01322615384981285,-0.008866627077987355,2.6866978997351367
3,1.8,120.0,2,20,20,0.001,0.0006,5,40,0,53,0.5094339622641509,1.507056594800559,0.027900225143653312,0.018841905581781004,-0.006541360498742654,2.68457197386263
3,1.4,120.0,3,30,25,0.0012,0.0008,2,30,4,67,0.5373134328358209,1.478745701513979,0.03253216001630399,0.021953984751396094,-0.013217959743846541,2.661942671819058
3,1.8,120.0,3,30,25,0.0015,0.001,5,24,2,69,0.4927536231884058,1.4761234944980066,0.03579809715672866,0.024145585747405995,-0.020041652662821985,2.639600011749326
3,1.8,130.0,1,20,25,0.001,0.0008,5,30,6,39,0.5128205128205128,1.5278723186166299,0.022105132161805097,0.014941970026320917,-0.008378437116243753,2.6385736154380495
3,1.4,130.0,3,20,30,0.001,0.0006,5,20,4,52,0.5192307692307693,1.496049956748658,0.024320517862934876,0.016433700320633626,-0.007863592928688434,2.638362980115925
3,1.6,130.0,3,50,25,0.001,0.0008,3,20,0,60,0.5333333333333333,1.4647400110634912,0.02904238464060782,0.019609711766748195,-0.009681436557103185,2.625899091386603
2,1.8,130.0,2,20,20,0.001,0.0008,3,40,2,69,0.5217391304347826,1.462417665393985,0.034057581074281806,0.02297789278267448,-0.017857702641494777,2.6228034245034046
3,1.5,130.0,2,20,25,0.0012,0.0008,3,20,4,61,0.5409836065573771,1.4636285387079089,0.02751509033341648,0.018582940397895875,-0.009634569680360139,2.6187989131628697
3,1.4,140.0,2,40,20,0.0015,0.0012,5,20,0,66,0.5303030303030303,1.4578385274108243,0.028528483057813192,0.019264280108416854,-0.01284127702989879,2.6088243698041786
3,1.8,130.0,1,30,20,0.001,0.0008,2,24,0,41,0.5365853658536586,1.5100456856709492,0.023518694844863575,0.015893912615577932,-0.01109553439696187,2.6081466230492762
3,1.6,140.0,3,20,25,0.0012,0.0008,3,20,2,63,0.5238095238095238,1.4643914275866239,0.027332429406158543,0.01846010802019671,-0.012314040961912576,2.607883759770034
3,1.4,130.0,2,40,15,0.0012,0.0008,4,30,2,59,0.5423728813559322,1.4583141339181385,0.027137450084460557,0.01832898424890117,-0.012598714720603366,2.5860107865447968
3,1.4,150.0,3,20,20,0.001,0.0012,5,30,2,67,0.5074626865671642,1.4324276942759195,0.025945008615067877,0.0175268919834366,-0.009486553901196126,2.5794373538741957
3,1.5,120.0,2,20,30,0.0015,0.0008,3,20,4,63,0.5396825396825397,1.4582303088617359,0.02977194774877323,0.020100010364749066,-0.017898185470366812,2.578256433388396
3,1.8,120.0,2,50,15,0.0015,0.0006,4,20,2,58,0.5172413793103449,1.4516815606498685,0.03004164925738828,0.02028123338862553,-0.01583747275805991,2.5697473715354477
3,1.5,130.0,2,50,30,0.001,0.0006,5,30,0,47,0.5531914893617021,1.4601433003385498,0.02168343788641125,0.014657904348264195,-0.008110018254198326,2.5563180757687483
3,1.5,150.0,2,30,25,0.001,0.0008,4,50,2,57,0.5263157894736842,1.4411896526864922,0.023543204982124477,0.015910414868643308,-0.009434821157389361,2.554958871034549
3,1.6,130.0,3,20,25,0.0012,0.0006,2,20,2,64,0.515625,1.4293168342201437,0.026173814515465743,0.01768082084246214,-0.011844859057201118,2.554352663726706
3,1.6,130.0,3,50,30,0.001,0.0008,3,30,2,55,0.5272727272727272,1.4463438890472617,0.02555899014597962,0.017267173549796233,-0.01277352752608285,2.5485120568127657
